ord,request,window,request_in_window,kind,campaign_id,bid_value
490,163,290,1,bid,2,11
491,163,290,1,win,2,10
492,164,291,0,bid,1,10
493,164,291,0,bid,2,11
494,164,291,0,win,2,10
495,165,291,1,bid,1,10
496,165,291,1,bid,2,11
497,165,291,1,win,2,10
498,166,292,0,bid,1,10
499,166,292,0,bid,2,11
500,166,292,0,win,2,10
501,167,292,1,bid,1,10
502,167,292,1,bid,2,11
503,167,292,1,win,2,10
504,168,293,0,bid,1,10
505,168,293,0,bid,2,11
506,168,293,0,win,2,10
507,169,293,1,bid,1,10
508,169,293,1,bid,2,11
509,169,293,1,win,2,10
510,170,294,0,bid,1,10
511,170,294,0,bid,2,11
512,170,294,0,win,2,10
513,171,294,1,bid,1,10
514,171,294,1,bid,2,11
515,171,294,1,win,2,10
516,172,295,0,bid,1,10
517,172,295,0,bid,2,11
518,172,295,0,win,2,10
519,173,295,1,bid,1,10
520,173,295,1,bid,2,11
521,173,295,1,win,2,10
522,174,296,0,bid,1,10
523,174,296,0,bid,2,11
524,174,296,0,win,2,10
525,175,296,1,bid,1,10
526,175,296,1,bid,2,11
527,175,296,1,win,2,10
528,176,297,0,bid,1,10
529,176,297,0,bid,2,11
530,176,297,0,win,2,10
531,177,297,1,bid,1,10
532,177,297,1,bid,2,11
533,177,297,1,win,2,10
534,178,298,0,bid,1,10
535,178,298,0,bid,2,11
536,178,298,0,win,2,10
537,179,298,1,bid,1,10
538,179,298,1,bid,2,11
539,179,298,1,win,2,10
540,180,299,0,bid,1,10
541,180,299,0,bid,2,11
542,180,299,0,win,2,10
543,181,299,1,bid,1,10
544,181,299,1,bid,2,11
545,181,299,1,win,2,10
546,182,300,0,bid,1,10
547,182,300,0,bid,2,11
548,182,300,0,win,2,10
549,183,300,1,bid,1,10
550,183,300,1,bid,2,11
551,183,300,1,win,2,10
552,184,301,0,bid,1,10
553,184,301,0,bid,2,11
554,184,301,0,win,2,10
555,185,301,1,bid,1,10
556,185,301,1,bid,2,11
557,185,301,1,win,2,10
558,186,302,0,bid,1,10
559,186,302,0,bid,2,11
560,186,302,0,win,2,10
561,187,302,1,bid,1,10
562,187,302,1,bid,2,11
563,187,302,1,win,2,10
564,188,303,0,bid,1,10
565,188,303,0,bid,2,11
566,188,303,0,win,2,10
567,189,303,1,bid,1,10
568,189,303,1,bid,2,11
569,189,303,1,win,2,10
570,190,304,0,bid,1,10
571,190,304,0,bid,2,11
572,190,304,0,win,2,10
573,191,304,1,bid,1,10
574,191,304,1,bid,2,11
575,191,304,1,win,2,10
576,192,305,0,bid,1,10
577,192,305,0,bid,2,11
578,192,305,0,win,2,10
579,193,305,1,bid,1,10
580,193,305,1,bid,2,11
581,193,305,1,win,2,10
582,194,306,0,bid,1,10
583,194,306,0,bid,2,11
584,194,306,0,win,2,10
585,195,306,1,bid,1,10
586,195,306,1,bid,2,11
587,195,306,1,win,2,10
588,196,307,0,bid,1,10
589,196,307,0,bid,2,11
590,196,307,0,win,2,10
591,197,307,1,bid,1,10
592,197,307,1,bid,2,11
593,197,307,1,win,2,10
594,198,308,0,bid,1,10
595,198,308,0,bid,2,11
596,198,308,0,win,2,10
597,199,308,1,bid,1,10
598,199,308,1,bid,2,11
599,199,308,1,win,2,10
600,200,309,0,bid,1,10
601,200,309,0,bid,2,11
602,200,309,0,win,2,10
603,201,309,1,bid,1,10
604,201,309,1,bid,2,11
605,201,309,1,win,2,10
606,202,310,0,bid,1,10
607,202,310,0,bid,2,11
608,202,310,0,win,2,10
609,203,310,1,bid,1,10
610,203,310,1,bid,2,11
611,203,310,1,win,2,10
612,204,311,0,bid,1,10
613,204,311,0,bid,2,11
614,204,311,0,win,2,10
615,205,311,1,bid,1,10
616,205,311,1,bid,2,11
617,205,311,1,win,2,10
618,206,312,0,bid,1,10
619,206,312,0,bid,2,11
620,206,312,0,win,2,10
621,207,312,1,bid,1,10
622,207,312,1,bid,2,11
623,207,312,1,win,2,10
624,208,313,0,bid,1,10
625,208,313,0,bid,2,11
626,208,313,0,win,2,10
627,209,313,1,bid,1,10
628,209,313,1,bid,2,11
629,209,313,1,win,2,10
630,210,314,0,bid,1,10
631,210,314,0,bid,2,11
632,210,314,0,win,2,10
633,211,314,1,bid,1,10
634,211,314,1,bid,2,11
635,211,314,1,win,2,10
636,212,315,0,bid,1,10
637,212,315,0,bid,2,11
638,212,315,0,win,2,10
639,213,315,1,bid,1,10
640,213,315,1,bid,2,11
641,213,315,1,win,2,10
642,214,316,0,bid,1,10
643,214,316,0,bid,2,11
644,214,316,0,win,2,10
645,215,316,1,bid,1,10
646,215,316,1,bid,2,11
647,215,316,1,win,2,10
648,216,317,0,bid,1,10
649,216,317,0,bid,2,11
650,216,317,0,win,2,10
651,217,317,1,bid,1,10
652,217,317,1,bid,2,11
653,217,317,1,win,2,10
654,218,318,0,bid,1,10
655,218,318,0,bid,2,11
656,218,318,0,win,2,10
657,219,318,1,bid,1,10
658,219,318,1,bid,2,11
659,219,318,1,win,2,10
660,220,319,0,bid,1,10
661,220,319,0,bid,2,11
662,220,319,0,win,2,10
663,221,319,1,bid,1,10
664,221,319,1,bid,2,11
665,221,319,1,win,2,10
666,222,320,0,bid,1,10
667,222,320,0,bid,2,11
668,222,320,0,win,2,10
669,223,320,1,bid,1,10
670,223,320,1,bid,2,11
671,223,320,1,win,2,10
672,224,321,0,bid,1,10
673,224,321,0,bid,2,11
674,224,321,0,win,2,10
675,225,321,1,bid,1,10
676,225,321,1,bid,2,11
677,225,321,1,win,2,10
678,226,322,0,bid,1,10
679,226,322,0,bid,2,11
680,226,322,0,win,2,10
681,227,322,1,bid,1,10
682,227,322,1,bid,2,11
683,227,322,1,win,2,10
684,228,323,0,bid,1,10
685,228,323,0,bid,2,11
686,228,323,0,win,2,10
687,229,323,1,bid,1,10
688,229,323,1,bid,2,11
689,229,323,1,win,2,10
690,230,324,0,bid,1,10
691,230,324,0,bid,2,11
692,230,324,0,win,2,10
693,231,324,1,bid,1,10
694,231,324,1,bid,2,11
695,231,324,1,win,2,10
696,232,325,0,bid,1,10
697,232,325,0,bid,2,11
698,232,325,0,win,2,10
699,233,325,1,bid,1,10
700,233,325,1,bid,2,11
701,233,325,1,win,2,10
702,234,326,0,bid,1,10
703,234,326,0,bid,2,11
704,234,326,0,win,2,10
705,235,326,1,bid,1,10
706,235,326,1,bid,2,11
707,235,326,1,win,2,10
708,236,327,0,bid,1,10
709,236,327,0,bid,2,11
710,236,327,0,win,2,10
711,237,327,1,bid,1,10
712,237,327,1,bid,2,11
713,237,327,1,win,2,10
714,238,328,0,bid,1,10
